file	author	licence	source
macron/macron_10.jpg	U.S. Department of State	Public domain	https://commons.wikimedia.org/wiki/File:Emmanuel_Macron,_fin_2020.jpg
macron/macron_11.jpg	Office of U.S. Climate Envoy	Public domain	https://commons.wikimedia.org/wiki/File:John_Kerry_meets_with_Emmanuel_Macron_March_2021_(2).jpg
macron/macron_12.jpg	Office of U.S. Climate Envoy	Public domain	https://commons.wikimedia.org/wiki/File:John_Kerry_meets_with_Emmanuel_Macron_March_2021_(1).jpg
macron/macron_13.jpg	The White House	Public domain	https://commons.wikimedia.org/wiki/File:F20210724ES-0597_(51440824528).jpg
trudeau/trudeau_00.jpg	Titem	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Justin_Trudeau_%C3%A0_la_Maison_des_Grands-Parents.jpg
trudeau/trudeau_01.jpg	Seneca College	Public domain	https://commons.wikimedia.org/wiki/File:Hassan_Abdillahi_and_Justin_Trudeau.jpg
trudeau/trudeau_02.jpg	Jeangagnon	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Fete_nationale_du_Quebec,_rue_Saint-Denis,_2015-06-24_-_108.jpg
trudeau/trudeau_03.jpg	Skimel	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Justin_Trudeau_at_demonstration_against_tuition_fees_in_Ottawa,_1st_Feb_2012.JPG
trudeau/trudeau_04.jpg	GoToVan	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Pride_Parade_2016_(28581148142).jpg
trudeau/trudeau_05.jpg	GoToVan	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Pride_Parade_2016_(28581148642).jpg
trudeau/trudeau_06.jpg	President (1969-1974 : Nixon). White House Photo Office. 1969-1974, General Services Administration. National Archives and Records Service. Office of Presidential Libraries. Office of Presidential Papers. 1/20/1969-ca. 12/1974	Public domain	https://commons.wikimedia.org/wiki/File:First_Lady_Pat_Nixon_and_Margaret_Trudeau_with_Future_Canadian_Prime_Minister_Justin_Trudeau_-_DPLA_-_19b4b2cd2b3d539bc148dfd70384d7e0.jpg
trudeau/trudeau_07.jpg	MarkHilton	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Gurdeep_Pandher_with_Canadian_Prime_Minister_Justin_Trudeau.jpg
trudeau/trudeau_08.jpg	Photographer for the White House Photo Office	Public domain	https://commons.wikimedia.org/wiki/File:Margaret_Sinclair,_Pat_Nixon,_Justin_Trudeau_1972-04-14_(cropped).jpg
trudeau/trudeau_09.jpg	Cannabis Culture	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Liberal_BBQ_in_Vancouver_with_Justin_Trudeau_and_Jodie_Emery_(14978162566).jpg
trudeau/trudeau_10.jpg	Dennis Sylvester Hurd from Minuwangoda, WP, Sri Lanka, Canada	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Justin_(48570949072).jpg
trudeau/trudeau_11.jpg	M-k-p-dj	CC0	https://commons.wikimedia.org/wiki/File:Mihailo_Papazoglu_with_Justin_Trudeau.jpg
trudeau/trudeau_12.jpg	Number 10	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Boris_Johnson_-COP26_World_Leaders_Summit_Day_1_-_51647053317.jpg
trudeau/trudeau_13.jpg	Number 10	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Justin_Trudeau_with_Catherine,_Duchess_of_Cambridge_-_COP26_World_Leaders_Summit_Day_1_-_51647778396.jpg
harris/harris_00.jpg	Office of Kamala Harris	Public domain	https://commons.wikimedia.org/wiki/File:Kamala_Harris_with_Newton_the_dog_-_2019-11-05.jpg
harris/harris_01.jpg	Office of Senator Kamala Harris	Public domain	https://commons.wikimedia.org/wiki/File:Kamala_Harris_lunch_with_Washington,_D.C._interns_38013372694_a9b581251e_h.jpg
harris/harris_02.jpg	Office of Senator Kamala Harris	Public domain	https://commons.wikimedia.org/wiki/File:Kamala_Harris_congressional_delegation_to_Israel_and_the_West_Bank_24830056408_496b572a6d_h.jpg
harris/harris_03.jpg	Office of the Vice President of the United States	Public domain	https://commons.wikimedia.org/wiki/File:Vice_President_Harris_met_with_Prime_Minister_of_New_Zealand_Ardern_at_the_VP_Office_in_2022.jpg
harris/harris_04.jpg	Office of the Vice President of the United States	Public domain	https://commons.wikimedia.org/wiki/File:Jacinda_and_Kamala_May_2022.jpg
harris/harris_05.jpg	UKinUSA	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:HMA_Harris.jpg
harris/harris_06.jpg	Lawrence Jackson	Public domain	https://commons.wikimedia.org/wiki/File:Kamala_Harris_in_Guatemala_City_(2021).png
harris/harris_07.jpg	Lawrence Jackson	Public domain	https://commons.wikimedia.org/wiki/File:Ike_Irby_and_Kamala_Harris.jpg
harris/harris_08.jpg	Quinn Dombrowski from Berkeley, USA	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Kamala_Harris_sign_(45918600385).jpg
